Price,Close,High,Low,Open,Volume
Ticker,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
Date,,,,,
2021-09-01,107.25914001464844,108.57202121093609,106.64849875344751,108.57202121093609,11817591
2021-09-02,107.32019805908203,107.53392000863352,106.37369916653248,107.10647610953053,13545023
2021-09-03,107.19807434082031,107.96137588860876,106.49583443214938,107.47285792861304,12286475
2021-09-06,106.3126449584961,107.68658784618825,105.64094203144123,107.28966852726033,13950485
2021-09-07,105.64093780517578,106.3431777377193,105.3050801433203,106.31264070535855,12485031
2021-09-08,107.41197967529297,107.87804265853211,105.76522759401162,106.41771450626965,25370295
2021-09-09,107.81590270996094,108.2198264878601,106.82163754781739,107.13234620116022,5078350
2021-09-13,108.06446838378906,108.31303782632806,107.31876005617207,108.28196190497304,7522483
2021-09-14,108.1887435913086,108.81016085793617,107.81589575988538,108.06446519508974,8434427
2021-09-15,110.55013275146484,111.23368920686434,107.97124860163508,108.12660291616982,20064238
2021-09-16,111.5133285522461,112.88045418717128,110.79870877707144,111.2026199046859,16214883
2021-09-17,111.10942077636719,112.10368594999943,109.83551022583461,111.57548376176676,21219226
2021-09-20,109.99085998535156,111.35797296196097,108.81016460949776,110.1151383858553,7833069
2021-09-21,109.30729675292969,110.8608398772102,109.02765140489942,109.40051186893979,9481007
2021-09-22,109.83550262451172,110.27048965700705,109.24516127430138,109.24516127430138,9165634
2021-09-23,110.76763153076172,111.07834017460677,109.99085992114908,109.99085992114908,10295913
2021-09-24,109.462646484375,111.54439165523713,109.24515298463105,110.79869604389619,7093411
2021-09-27,109.36945343017578,110.0840859101198,108.81017528749052,109.68016210469332,5205649
2021-09-28,114.30970764160156,117.3857308720492,109.43158434963391,109.89764732611681,38873626
2021-09-29,121.20744323730469,121.98421482266869,113.37757554262225,114.0300687314347,53686662
2021-09-30,118.00714874267578,123.04062638439291,117.23037711146118,121.14529854712231,23618199
2021-10-01,119.21890258789062,120.2442436280006,117.85178962958861,118.56642202983295,16994903
2021-10-04,119.0946273803711,119.96461412386085,118.10036223471161,119.31212090555172,10757286
2021-10-05,118.0382080078125,121.23850954812865,117.66536016606344,119.09462497599633,17200858
2021-10-06,116.577880859375,119.40533458074131,116.04967869240743,119.28104353731139,8929507
2021-10-07,117.01287078857422,119.0324768088996,116.57787113699835,118.69069227143042,6733699
2021-10-08,116.64000701904297,118.1624867921641,116.20502002258876,117.44785446133301,8165175
2021-10-11,120.21318054199219,121.23852169157719,117.63430866997645,118.06929575512486,12982042
2021-10-12,120.15104675292969,120.95889439636217,119.09464227407383,120.4928313657901,8539966
2021-10-13,123.91059875488281,127.07982411376332,120.64815828252458,121.23849959660683,33075614
2021-10-14,127.1730728149414,127.98090784531844,123.19599894588971,124.40775781283992,19185455
2021-10-18,126.64484405517578,130.4665501325136,125.61950303620628,130.3733476566891,38546365
2021-10-19,123.44452667236328,127.26624489930256,122.41918578570665,126.76910609281298,16174177
2021-10-20,120.77244567871094,124.43881015438477,120.15102839953798,124.28345583459152,21909934
2021-10-21,120.5860366821289,122.63670626401561,120.24425209709722,121.95314973672004,16946547
2021-10-22,120.83458709716797,122.41920624526685,118.84605682440247,121.73564975417666,7705870
2021-10-25,119.71602630615234,121.17635420000965,118.37997679539406,120.8345696823394,7862419
2021-10-26,118.31783294677734,119.90243916136254,117.88283333752204,119.68494567811729,8525850
2021-10-27,118.22464752197266,119.21891272553552,117.16824311370611,118.16250831726897,9862679
2021-10-28,115.52147674560547,118.7528415966679,115.11755297853088,118.50427215210145,11095238
2021-10-29,114.99329376220703,117.23039385099098,112.66297853581351,116.14291341200733,12988035
2021-11-01,116.67109680175781,117.13715977167162,114.68256652056576,114.71362979956636,5475153
2021-11-02,115.27291107177734,118.84606060634727,115.05541754170486,117.23037812796481,10946890
2021-11-03,114.30970764160156,116.39146571743912,113.71936626183016,115.27290951677318,13957727
2021-11-04,114.99329376220703,115.49042009150945,114.49615479013539,114.93114190862114,830214
2021-11-08,117.54108428955078,118.28677998905606,114.7136305302893,116.57788242181978,11947323
2021-11-09,115.9254150390625,118.28679345142555,115.1486433291861,118.28679345142555,10381150
2021-11-10,114.58935546875,115.89432930231368,114.06115327930371,115.55254472179497,13857851
2021-11-11,113.19115447998047,115.1175454241114,112.2900918829039,114.96219111179815,8851354
2021-11-12,113.09793853759766,114.15434279650171,112.04153427869362,114.15434279650171,9590673
2021-11-15,117.01287078857422,117.29250348812823,113.09793713822167,113.22221552851988,24821341
2021-11-16,116.577880859375,118.90819569255588,115.89432437019538,117.44786759231596,23206330
2021-11-17,118.72179412841797,120.43069190358732,116.20504871151559,116.20504871151559,18359498
2021-11-18,119.62283325195312,120.83459196025547,118.72178320144808,119.21890946826313,10742933
2021-11-22,120.67922973632812,122.4192031632681,119.31211678856586,120.8035207769763,25095721
2021-11-23,125.4330825805664,125.77486716113155,120.02675699388182,120.08889619686612,19671538
2021-11-24,126.33415222167969,128.9130241081191,125.52630461015059,125.6505830229543,18120478
2021-11-25,126.92447662353516,127.39053957319318,125.06022482490306,125.89913560573417,18537454
2021-11-26,125.52628326416016,127.35945907650553,124.78058762860826,126.8001936712247,12814537
2021-11-29,124.43882751464844,126.7691426366456,123.3513471243831,123.66205580731605,16066147
2021-11-30,128.47804260253906,130.18694038806257,124.46990558087333,124.46990558087333,37739647
2021-12-01,128.7576446533203,129.72084641434154,127.20410158248988,128.63336626476024,20332817
2021-12-02,133.2939910888672,134.22611690067745,128.32265342587914,129.8761964455629,33758843
2021-12-03,128.0740966796875,134.5057628886659,127.7012488466448,132.4550934855477,47614182
2021-12-06,125.52628326416016,129.25478672745206,125.12235952708363,128.85086299037553,11322446
2021-12-07,127.88768768310547,128.60230747666546,125.61951196900826,125.89914470189977,8049102
2021-12-08,127.26625061035156,129.0372871434525,126.48947909208225,127.48374410691386,8788449
2021-12-09,126.27201080322266,128.29161735610688,125.58845419080033,127.70127588237155,5755422
2021-12-10,125.93022155761719,126.92448673420306,125.43308264794041,126.92448673420306,6164402
2021-12-13,127.01768493652344,130.28012540933088,126.58268528782286,127.70124136417752,21648126
2021-12-14,131.8957977294922,132.4550757254494,126.27196713904388,126.83124513500108,48042035
2021-12-15,130.4044189453125,134.00864437196162,129.13052105553132,132.4240251868663,15207306
2021-12-16,129.37904357910156,131.61615539883803,128.19836112650785,131.36758601411574,13410737
2021-12-17,130.46658325195312,130.8083678926285,127.42164798529548,129.379102758784,15209414
2021-12-20,130.4044189453125,132.1443924566812,128.9440908068963,130.96369704845011,22539246
2021-12-21,128.38482666015625,131.58512865783808,127.26628297505434,131.39869838893668,17566511
2021-12-22,127.0921630859375,128.0064900259282,124.85362081346692,125.98865886157606,14750231
2021-12-23,131.38002014160156,132.16823722047974,127.40741376148803,127.69116677826257,15932489
2021-12-24,129.51983642578125,131.60072187215536,129.1730157701917,131.28543503218464,8975969
2021-12-27,129.96124267578125,130.68640502823877,129.26761414132181,129.51984619814033,8648187
2021-12-28,129.6459503173828,131.56920523642563,128.19563850299008,130.30805783483817,15736206
2021-12-29,129.01536560058594,129.83511647324514,127.81727310556624,128.00645033127336,17172943
2021-12-30,129.48829650878906,133.3032722242982,127.15517913456192,129.01536627111705,87481206
2021-12-31,128.88926696777344,130.0242919314146,128.3532818880772,128.6370349217238,9842223
2022-01-03,129.2676239013672,130.49723763124547,128.73163875831912,129.5198559772299,7410054
2022-01-04,132.79881286621094,134.31219224606193,129.5828897021865,130.08735377182157,14784090
2022-01-05,131.5692138671875,133.27175783939327,131.1908721877035,132.4204858532904,9565107
2022-01-06,129.86663818359375,131.60071572239852,129.0469001354092,131.00167588606928,5615931
2022-01-07,129.3937225341797,131.47462094697693,128.952326060704,130.49722654692408,11908249
2022-01-10,128.6370391845703,130.68640377942253,128.29021850612708,130.68640377942253,11085710
2022-01-11,128.5424346923828,129.77206099493384,128.3217364829158,128.98384394037046,7208789
2022-01-12,129.236083984375,130.33958803879312,128.85774230295706,129.89819154864816,11018139
2022-01-13,131.15933227539062,133.3663402704092,130.2450055233621,130.90710022443463,20522807
